pricing_mode,subset,breakdown,bucket,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_net_pnl_per_trade,total_net_pnl
candle_proxy,selected_trades,city_key,nyc,50,50,0,0.7,0.665643,0.6528,32.64
candle_proxy,selected_trades,entry_price_bucket,0-25,49,49,0,0.714286,0.677379,0.673878,33.02
candle_proxy,selected_trades,entry_price_bucket,25-50,1,1,0,0.0,0.090588,-0.38,-0.38
candle_proxy,selected_trades,month_bucket,2025-12,16,16,0,0.6875,0.702314,0.631875,10.11
candle_proxy,selected_trades,month_bucket,2026-01,34,34,0,0.705882,0.648387,0.662647,22.53
candle_proxy,selected_trades,sample_size_bucket,26+,50,50,0,0.7,0.665643,0.6528,32.64
candle_proxy,selected_trades,season_bucket,winter,50,50,0,0.7,0.665643,0.6528,32.64
candle_proxy,selected_trades,spread_bucket,0-2,46,46,0,0.717391,0.676083,0.681304,31.34
candle_proxy,selected_trades,spread_bucket,2-5,4,4,0,0.5,0.545588,0.325,1.3
decision_price,selected_trades,city_key,nyc,52,52,0,0.692308,0.644074,0.639038,33.23
decision_price,selected_trades,entry_price_bucket,0-25,50,50,0,0.72,0.667025,0.6812,34.06
decision_price,selected_trades,entry_price_bucket,25-50,2,2,0,0.0,0.070294,-0.415,-0.83
decision_price,selected_trades,month_bucket,2025-12,16,16,0,0.6875,0.705252,0.634688,10.155
decision_price,selected_trades,month_bucket,2026-01,36,36,0,0.694444,0.616883,0.640972,23.075
decision_price,selected_trades,sample_size_bucket,26+,52,52,0,0.692308,0.644074,0.639038,33.23
decision_price,selected_trades,season_bucket,winter,52,52,0,0.692308,0.644074,0.639038,33.23
